year,overall_average,overall_10th,overall_20th,overall_30th,overall_40th,overall_50th,overall_60th,overall_70th,overall_80th,overall_90th,overall_95th,white_10th,white_20th,white_30th,white_40th,white_50th,white_60th,white_70th,white_80th,white_90th,white_95th,white_average,black_10th,black_20th,black_30th,black_40th,black_50th,black_60th,black_70th,black_80th,black_90th,black_95th,black_average
2022,32,12.58,15.04,17.09,19.88,22.88,26.61,32.17,40.67,57.7,NA,13.02,15.89,18.21,21.16,24.96,29.08,35.06,44.22,62.43,NA,34.49,11.89,14.22,15.57,17.45,19.6,22.11,25.96,32.35,43.32,57.67,25.61
2021,32.08,12.64,15.22,17.27,19.88,23.05,27.06,32.83,41.54,57.24,NA,12.97,16.14,18.46,21.59,25.4,30.13,36.16,44.37,62.26,NA,34.5,11.3,13.76,16.08,17.33,19.45,21.72,26.34,32.44,43.64,56.57,25.4
2020,32.54,12.45,15.16,17.29,20.32,23.64,28.21,33.93,42.88,59.77,NA,13.05,15.96,18.94,22.28,25.98,30.63,36.95,45.71,63.24,NA,34.86,11.27,13.56,15.83,17.51,19.85,22.67,27.17,33.77,45.3,60.05,26.03
2019,30.36,11.53,14.08,16.76,19.12,22.12,26.26,31.97,40.03,55.02,76.84,12.09,14.94,17.68,20.74,24.39,28.69,34.69,43.93,59.55,NA,32.79,11,12.7,14.8,17.03,18.45,21.24,24.9,30.81,41.23,54.86,24.09
2018,29.83,11.61,13.87,16.2,18.57,21.9,25.66,31.18,39.38,55.33,73.54,11.75,14.53,17.48,20.58,23.97,28.64,34.4,42.77,58.32,NA,32.44,10.66,12.16,13.98,15.91,17.57,20.28,23.81,30.2,41.22,55.88,23.53
2017,29.21,11.55,13.24,15.62,18.13,21.55,25.64,30.97,39.2,54.51,71.57,11.88,14.34,17.39,20.29,23.87,28.56,34.23,42.32,57.38,78.68,31.64,10.63,11.97,13.61,15.45,17.84,20.29,23.86,29.83,40.32,51.89,22.95
2016,29,11.09,12.87,15.34,18.26,21.36,25.37,30.53,38.58,53.37,70.55,11.61,14,17.02,19.86,23.56,28.06,33.68,42.04,57.42,76.34,31.3,10.35,12.1,13.38,15.36,18.15,20.65,24.31,30.22,41.05,52.84,23.09
2015,28.43,11,12.45,14.94,18.01,20.99,24.79,30.54,38.07,52.42,69.87,11.2,13.58,16.58,19.68,23.37,27.3,32.95,41.61,56.57,75.65,30.75,10,11.64,12.91,14.93,17.38,19.89,24.13,29.71,40.52,52.77,22.72
2014,27.36,10.5,12.38,14.82,17.57,20.65,24.64,29.67,37.04,50.33,65.63,11.01,13.2,16.15,19.1,22.73,26.99,32.12,39.68,53.57,71.35,29.49,9.93,11.35,12.52,14.83,17.25,19.75,23.78,29.55,38.75,51.24,22.17
2013,27.54,10.41,12.52,14.97,17.62,20.63,24.42,30.02,37.34,50.89,66.57,10.83,13.08,16.21,19,22.73,26.87,32.11,40.12,54.4,72.51,29.72,10.05,11.47,12.79,15.09,17.61,20.17,23.86,29.5,39.61,50.48,22.34
2012,27.41,10.35,12.64,14.81,17.72,20.53,24.59,29.51,36.8,50.49,65.45,10.78,12.91,16.08,19.19,22.86,26.88,31.97,39.8,54,70.84,29.59,10.09,11.52,12.91,15.24,17.23,19.95,24.4,29.43,39.74,50.48,22.32
2011,27.26,10.53,12.88,14.94,17.84,20.79,24.88,29.88,37.33,50.17,64.67,10.85,13.13,16.21,19.49,22.73,26.67,32.46,39.25,53.06,68.96,29.27,10.29,11.77,13.13,15.52,17.69,20.16,24.06,28.96,38.97,50.3,22.32
2010,27.84,10.8,13.03,15.23,18.14,21.32,25.43,30.3,37.61,51.2,65.25,11,13.5,16.35,19.97,23.18,27.07,32.57,40.23,53.85,69.89,29.86,10.61,12.16,13.57,16.01,18.27,20.8,24.87,30.14,39.48,49.53,22.71
2009,27.9,10.9,13.14,15.43,18.3,21.45,25.64,30.5,37.88,50.98,65.63,11.03,13.7,16.51,19.95,23.35,27.41,32.86,40.28,53.78,69.45,29.86,10.52,12.28,13.76,16.25,18.37,20.81,24.79,30.12,39.32,49.28,22.7
2008,27.2,10.8,12.94,15.14,17.85,20.99,24.72,29.83,36.77,49.39,64.17,10.94,13.62,16.4,19.66,22.92,27.1,32.37,39.26,52.49,66.89,29.09,10.2,12.09,13.58,15.5,17.64,20.39,23.74,29.49,39.03,48.92,22.06
2007,27.11,10.68,12.86,15.18,17.82,21.15,24.81,29.67,36.71,49.41,63.81,11.16,13.99,16.63,19.68,22.78,27.12,32.1,39.45,52.62,67.81,29.02,10.19,12.1,14.04,15.67,17.7,20.57,24.04,28.71,38.95,48.64,22.19
2006,26.8,10.5,13,14.83,17.63,21.11,24.66,29.19,36.31,49.09,62.71,10.92,13.73,16.24,19.35,22.67,26.63,31.7,38.59,51.65,66.53,28.62,10.15,11.86,13.93,15.67,18,20.97,24.54,29.57,38.94,49.47,22.3
2005,26.69,10.56,12.88,15.07,17.95,21.03,24.61,29.42,36.15,48.22,62.15,10.91,13.64,16.43,19.44,22.63,26.78,31.61,38.54,51.75,65.77,28.56,10.36,12.01,13.57,15.17,17.86,20.39,23.96,29.01,37.7,47.96,21.85
2004,26.88,10.82,13.02,15.48,18.25,21.35,24.87,29.82,36.56,48.54,62.03,11.01,13.91,16.42,19.55,23.18,26.81,31.55,38.78,52.28,65.73,28.67,10.44,12.35,14.04,15.7,18.57,21.3,24.66,29.88,38.83,48.12,22.35
2003,26.85,11.02,12.96,15.81,18.17,21.11,24.85,30.07,36.62,48.03,61.45,11.19,14.03,16.39,19.39,23.08,26.97,31.92,38.96,51.15,65.06,28.65,10.44,12.62,14.34,16.04,18.42,20.91,24.74,30.3,38.47,47.84,22.35
2002,26.8,11.07,13.1,15.64,18.02,21.1,24.59,29.54,36.03,48.04,61.95,11.34,13.94,16.43,19.57,22.93,26.83,31.73,38.96,50.99,65.13,28.62,10.49,12.38,14.28,16.19,18.05,20.52,24.34,29.38,37.58,46.88,21.97
2001,26.32,10.73,13.13,15.33,17.88,20.78,24.7,29.12,35.57,47.52,59.8,11.26,13.65,16.52,19.36,22.72,26.44,31.45,38,49.83,63.74,28.08,10.21,12.06,13.87,15.72,17.58,20.17,23.84,28.56,36.57,45.76,21.59
2000,25.84,10.41,12.74,15.16,17.22,20.47,24.05,28.82,34.92,45.97,58.8,10.9,13.54,16.15,18.8,22.06,25.7,30.76,37.4,48.92,61.49,27.47,10.23,11.98,13.69,15.53,17.48,20.39,23.88,28.78,36.56,44.27,21.49
1999,25.53,10.47,12.47,14.82,17.53,20.35,23.96,28.36,34.94,45.34,57.21,10.66,13.25,15.89,18.54,21.81,25.69,30.31,36.78,47.98,60.39,27.06,10.17,11.93,13.42,15.34,17.53,19.95,23.02,28.13,36.43,44.06,21.09
1998,24.94,10.29,12.44,14.46,17.12,19.85,23.38,27.88,34.18,44.77,55.73,10.61,12.79,15.5,18.07,21.48,25.17,29.78,35.96,46.72,58.46,26.42,9.82,11.37,12.97,14.73,17.11,19.65,22.86,27.46,35.43,43.25,20.67
