"state","puma12","county14","stab","cntyname2","PUMAname","pop10","afact"
"State code","PUMA (2012)","County code (2014)","State abbreviation","2014 county name","PUMA12 name","Population (2010)","puma12 to county14 allocation factor"
"51","01301","51013","VA","Arlington VA","Arlington County (North)",105186,1 
"51","01302","51013","VA","Arlington VA","Arlington County (South)",102441,1 
"51","04101","51041","VA","Chesterfield VA","Chesterfield County (East)--James River Region",104543,1 
"51","04102","51041","VA","Chesterfield VA","Chesterfield County (Central)--Chester & Rockwood",111527,1 
"51","04103","51041","VA","Chesterfield VA","Chesterfield County (West)--Brandermill & Woodlake",100166,1 
"51","10701","51107","VA","Loudoun VA","Loudoun County (Northeast)--Sterling & Ashburn (Northeast/Ashburn Village)",102704,1 
"51","10702","51107","VA","Loudoun VA","Loudoun County (East Central)--Ashburn (Southwest/Belmont Ridge) & Dulles Airport",105893,1 
"51","10703","51107","VA","Loudoun VA","Loudoun County (West & South)--Leesburg Town",103714,1 
"51","51010","51027","VA","Buchanan VA","LENOWISCO & Cumberland Plateau Planning District Commissions",24098,0.116 
"51","51010","51051","VA","Dickenson VA","LENOWISCO & Cumberland Plateau Planning District Commissions",15903,0.076 
"51","51010","51105","VA","Lee VA","LENOWISCO & Cumberland Plateau Planning District Commissions",25587,0.123 
"51","51010","51167","VA","Russell VA","LENOWISCO & Cumberland Plateau Planning District Commissions",28897,0.139 
"51","51010","51169","VA","Scott VA","LENOWISCO & Cumberland Plateau Planning District Commissions",23177,0.111 
"51","51010","51185","VA","Tazewell VA","LENOWISCO & Cumberland Plateau Planning District Commissions",45078,0.217 
"51","51010","51195","VA","Wise VA","LENOWISCO & Cumberland Plateau Planning District Commissions",41452,0.199 
"51","51010","51720","VA","Norton city VA","LENOWISCO & Cumberland Plateau Planning District Commissions",3958,0.019 
"51","51020","51021","VA","Bland VA","Mount Rogers Planning District Commission",6824,0.035 
"51","51020","51035","VA","Carroll VA","Mount Rogers Planning District Commission",30042,0.155 
"51","51020","51077","VA","Grayson VA","Mount Rogers Planning District Commission",15533,0.08 
"51","51020","51173","VA","Smyth VA","Mount Rogers Planning District Commission",32208,0.166 
"51","51020","51191","VA","Washington VA","Mount Rogers Planning District Commission",54876,0.283 
